NUMBER,HSN_CODE,NAME_OF_COMMODITY,CHAPTER_NO,SUB_CHAPTER,GST_PERCENTAGE_INDIA
83,0207.36.00,Fatty livers of geese or ducks frozen,2,III,12%
84,0207.35.00,"Other, Fatty livers of geese or ducks - fresh or chilled",2,I,NIL
85,0207.39.00,"Chickens, turkeys, ducks, geese or guineas poultry cuts and offal other than livers, frozen:",2,III,12%
86,0208.00.00,"Other meat & edible meat offal , fresh, chilled ",2,I,NIL
87,0208.00.00,"Other meat & edible meat offal ,frozen",2,III,12%
88,0208.10.00,Edible offal of Rabbits or hares - fresh or chilled,2,I,NIL
89,0208.10.00,Edible offal of Rabbits or hares - frozen,2,III,12%
90,0208.20.00,Edible offal of Frogs' legs - fresh or chilled,2,I,NIL
91,0208.20.00,Edible offal of Frogs' legs - frozen,2,III,12%
92,0208.30.00,Edible offal of Primates - fresh or chilled,2,I,NIL
93,0208.30.00,Edible offal of Primates - frozen,2,III,12%
94,0208.40.00,"Edible offal of Whales, dolphins and porpoises; of manatees and dugongs - fresh or chilled",2,I,NIL
95,0208.40.00,"Edible offal of Whales, dolphins and porpoises; of manatees and dugongs - frozen",2,III,12%
96,0208.50.00,Edible offal of Reptiles (including snakes and turtles) - fresh or chilled,2,I,NIL
97,0208.50.00,Edible offal of Reptiles (including snakes and turtles) - frozen,2,III,12%
98,0208.90.00,"Other meat and edible offal (fresh, chilled)",2,I,NIL
99,0208.90.00,Other meat and edible offal (frozen),2,III,12%
100,0208.90.10,Wild animals,2,I,NIL
101,0208.90.90,"Other meat and edible offal (fresh, chilled): other",2,I,NIL
102,0208.90.90,Other meat and edible offal (frozen): other,2,III,12%
103,0209.00.00,"Pig fat free of lean meat and poultry fat (not rendered),fresh, chilled",2,I,NIL
104,0209.00.00,"Pig fat free of lean meat and poultry fat (not rendered)salted, in brine, dried or smoked (Frozen)",2,III,12%
105,0210.00.00,"Meat & ed offal salted, dried etc. & flour & meal",2,III,12%
106,0210.11.00,"Hams, shoulders and cuts thereof, with bone in",2,III,12%
107,0210.12.00,Bellies (streaky) and cuts thereof: bacon other,2,III,12%
108,0210.19.00,"Other meat of swine (salted, in brine, dried, smoked)",2,III,12%
109,0210.20.00,Meat of bovine animals,2,III,12%
110,0210.90.00,"Other, including edible flours and meals of meat or meat offal",2,III,12%
111,0301.00.00,Live Fish,3,I,NIL
112,0301.10.00,Ornamental fish,3,I,NIL
113,0301.91.00,"Trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)",3,I,NIL
114,0301.92.00  ,Eels (anguilla spp),3,I,NIL
115,0301.93.00,Carp,3,I,NIL
116,0301.94.00,Bluefin tunas (Thunnus thynnus),3,I,NIL
117,0301.95.00,Southern bluefin tunas (Thunnus thynnus),3,I,NIL
118,0301.99.00,Other live fish,3,I,NIL
119,0302.00.00  ,"Fish, fresh or chilled (excluding fish fillets and other fish meat)",3,I,NIL
120,0302.11.00,"Trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae): rainbow trout (salmo gairdneri), farmed",3,I,NIL
121,0302.12.00,"Pacific salmon (oncorhynchus spp), atlantic salmon (salmo salar) and danube salmon (hucho) atlantic: farmed , not farmed , chinook (king), chum (dog) , pink (humpie),sockeye (red), coho (silver)",3,I,NIL
122,0302.19.00,"Flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and citharidae), excluding livers and roes:",3,I,NIL
123,0302.21.00,"Halibut and greenland turbot (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis)",3,I,NIL
124,0302.22.00,Plaice (pleuronectes platessa),3,I,NIL
125,0302.23.00,Sole (solea spp),3,I,NIL
126,0302.29.00,"Tunas (of genus thunnus), skipjack or stripe-bellied bonito (euthynnus (katsuwonus, pelamis), excluding livers and roes:",3,I,NIL
127,0302.31.00  ,Albacore or longfinned tunas (thunnus alalunga),3,I,NIL
128,0302.32.00,Yellowfin tunas (thunnus albacares),3,I,NIL
129,0302.33.00,Skipjack or stripe-bellied bonito,3,I,NIL
130,0302.39.00,Bluefin (thunnus thynnus),3,I,NIL
