NUMBER,HSN_CODE,NAME_OF_COMMODITY,CHAPTER_NO,SUB_CHAPTER,GST_PERCENTAGE_INDIA
2824,2939.21.00,Quinine and its salts,29,yet to be notifed,--
2825,2939.21.10,Quinine alkoloids,29,yet to be notifed,--
2826,2939.21.20,Quinine hydrochloride,29,yet to be notifed,--
2827,2939.21.30,Quinine sulphate,29,yet to be notifed,--
2828,2939.21.40,Chloroquine phosphate,29,yet to be notifed,--
2829,2939.29.00,"Other alkaloids of cinchona and their derivatives, salts thereof",29,yet to be notifed,--
2830,2939.30.00,Caffeine and its salts,29,yet to be notifed,--
2831,2939.40.00,Ephedrines and their salts,29,yet to be notifed,--
2832,2939.41.10,Ephedrine alkaloides,29,yet to be notifed,--
2833,2939.41.20,Ephedrine hydrochloride,29,yet to be notifed,--
2834,2939.42.00,Pseudoephedrine (INN) and its salts,29,yet to be notifed,--
2835,2939.43.00,Cathine (INN) and its salts,29,yet to be notifed,--
2836,2939.50.00,"Theophylline and aminophylline and their derivatives, salts thereof",29,yet to be notifed,--
2837,2939.51.00,Fenetyline (INN) and its salts,29,yet to be notifed,--
2838,2939.60.00,"Alkaloids of rye ergot and their derivatives, salts thereof",29,yet to be notifed,--
2839,2939.61.10,Ergometrine (INN) and its salts,29,yet to be notifed,--
2840,2939.62.10,Ergotamine (INN) and its salts,29,yet to be notifed,--
2841,2939.63.00,Lysergic acid and its salts,29,yet to be notifed,--
2842,2939.70.00,Nicotine and its salts,29,yet to be notifed,--
2843,2939.90.00,"Other vegetable alkaloids, their salts, ethers, esters, other derivatives",29,yet to be notifed,--
2844,2939.91.00,"Cocaine,ecgonine, levometamfetamine, Metamfetamine (INN), metamfetamin - eecemate; salts, esters and other derivatives thereof",29,yet to be notifed,--
2845,2940.00.00,"Sugars, chem pure (except sucrose, lactose, fructose)",29,yet to be notifed,--
2846,2940.00.00,"Sugars; sugar ethers, sugar esters and their salts",29,yet to be notifed,--
2847,2941.00.00,Antibiotics,29,yet to be notifed,--
2848,2941.10.00,Penicillins and their derivatives with a penicillanic acid structure,29,yet to be notifed,--
2849,2941.20.00,"Streptomycins and their derivatives, salts thereof",29,yet to be notifed,--
2850,2941.30.00,"Tetracyclines and their derivatives, salts thereof",29,yet to be notifed,--
2851,2941.40.00,"Chloramphenicol and its derivatives, salts thereof",29,yet to be notifed,--
2852,2941.50.00,"Erythromycin and its derivatives, salts thereof",29,yet to be notifed,--
2853,2941.90.00,Other antibiotics,29,yet to be notifed,--
2854,2942.00.00,Amlodipine Besilate,29,yet to be notifed,--
2855,2942.00.00,Cinnarizine,29,yet to be notifed,--
2856,2942.00.00,Citalopram HBR,29,yet to be notifed,--
2857,2942.00.00,Diflotxacin,29,yet to be notifed,--
2858,2942.00.00,Intermediate & Chemicals,29,yet to be notifed,--
2859,2942.00.00,Organic compounds nesoi,29,yet to be notifed,--
2860,2942.00.00,Organic solvents ,29,yet to be notifed,--
2861,2942.00.00,Other organic compounds,29,yet to be notifed,--
2862,2942.00.00,Sildenafil Citrate,29,yet to be notifed,--
2863,2942.00.00,Triclabendazole,29,yet to be notifed,--
2864,3001.00.00,"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included ",30,III,12%
2865,3001.10.00,Glands and other organs (dried),30,III,12%
2866,3001.20.00,Extracts of glands or other organs or of their secretions,30,III,12%
2867,3001.20.10,Liquid extracts of liver,30,III,12%
2868,3001.20.20,"Liver extracts, dry",30,III,12%
2869,3001.20.30,Snake venom,30,III,12%
2870,3001.90.00,"Heparin, its salt, other animal substances prepared for therapeutic uses",30,III,12%
2871,3002.00.00,Human blood and its components,30,I,NIL
2872,3002.00.00,Animal or Human Blood Vaccines,30,II,5%
2873,3002.00.00,"Animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; toxins, cultures of micro-organisms (excluding yeasts) and similar products.",30,III,12%
2874,3002.10.00,Antisera and other blood fractions,30,III,12%
2875,3002.10.11,Anti Sera for diptheria,30,III,12%
2876,3002.10.12,Anti Sera for tetanus,30,III,12%
2877,3002.10.13,Anti Sera for rabies,30,III,12%
2878,3002.10.14,Anti Sera for snake venom,30,III,12%
2879,3002.10.19,Antisera and other blood fractions: other,30,III,12%
2880,3002.10.20,Hemoglobin blood globulins and serum globulins,30,III,12%
2881,3006.00.00,Animal or Human Blood Vaccines,30,II,5%
2882,3002.20.00  ,Vaccines for human medicine,30,II,5%
2883,3002.20.11  ,Life saving madicine for cholera and typhoid,30,II,5%
2884,3002.20.12,Life saving madicine for hepatitis,30,II,5%
2885,3002.20.13,Life saving madicine for tetanus,30,II,5%
2886,3002.20.14,Life saving madicine for polis,30,II,5%
2887,3002.20.15,Life saving madicine for tuberculosis,30,II,5%
2888,3002.20.16,Life saving madicine for rabies,30,II,5%
2889,3002.20.17,Life saving madicine for Japanese Enceephalitis,30,II,5%
2890,3002.20.18,Life saving madicine for whooping cough (pertusis),30,II,5%
2891,3002.20.19,Vaccines for human medicine: Other,30,II,5%
2892,3002.30.00,Vaccines for verterinary medicines,30,II,5%
2893,3002.31.10,Insulin injection,30,II,5%
2894,3002.39.00,Other vaccines for veterinary medicine,30,II,5%
2895,3002.90.00,"Animal blood, toxins, microbial culture, similar products",30,III,12%
2896,3002.90.10,Human Blood,30,I,NIL
2897,3002.90.20,"Animal blood prepared for therapeutic, prophylactic or diagnostic uses",30,III,12%
2898,3002.90.30,Cultures of Micro organisms (Excluding Yeast),30,III,12%
2899,3002.90.40,Toxins,30,III,12%
2900,3002.90.90,Blood Plasma,30,III,12%
2901,3003.00.00,"Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale, including Ayurvedic, Unani, Siddha, Homoeopathic or Bio-chemic systems medicaments. ",30,III,12%
2902,3003.00.00,Zinda Balm,30,III,12%
2903,3003.00.00,Zinda Tilismath  ,30,III,12%
2904,3003.10.00,Medicaments containing penicillines or streptomycins or their derivatives,30,III,12%
2905,3003.20.00,Medicaments containing other antibiotics,30,III,12%
2906,3003.20.00,Povidone-Iodine Cleaning Solution USP 7.5% w/v,30,III,12%
2907,3003.20.00,Povidone-Iodine Solution IP,30,III,12%
2908,3003.20.00,Sepsonil,30,III,12%
2909,3003.20.00,Sepsonil-DX (Obstetric Cream),30,III,12%
2910,3003.20.00,Sepsonil-DX III,30,III,12%
2911,3003.31.00,Medicaments containing insulin,30,III,12%
2912,3003.39.00,Medicaments containing other hormones,30,III,12%
2913,3003.40.00,Medicaments containing alkaloids or derivatives thereof,30,III,12%
2914,3003.90.00,Other medicaments,30,III,12%
2915,3003.90.11,Medicaments of Ayurvedic systems,30,III,12%
2916,3003.90.12,Medicaments of Unani systems,30,III,12%
2917,3003.90.13,Medicaments of Siddha,30,III,12%
2918,3003.90.14,Medicaments of Homeopathic System,30,III,12%
2919,3003.90.15,Medicaments of Bio-chemic systems,30,III,12%
2920,3003.90.90,Medicaments other than those given in sub-entries (i) to (v),30,III,12%
2921,3004.00.00,"Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale including Ayurvedic, Unani, Siddha, Homoeopathic or Bio-chemic systems medicaments, put up for retail sale. ",30,III,12%
2922,3004.10.00,Medicaments containing penicillines or streptonycins (put up in packings),30,III,12%
2923,3004.20.00,Medicaments containing other antibiotics (put up in packings for retail sale,30,III,12%
2924,3004.31.00,Medicaments containing insulin (put up in packings for retail sale),30,III,12%
2925,3004.32.00,Medicaments containing adrenal cortex hormones (put up in packings),30,III,12%
2926,3004.39.00,Medicaments containing other hormones (put up in packings for retail sale),30,III,12%
2927,3004.40.00,Medicaments containing alkaloids or derivatives thereof (put up in packings),30,III,12%
2928,3004.50.00,Medicaments containing vitamins or other products(put up in packings),30,III,12%
2929,3004.90.00,Other medicaments (put up in packings for retail sale),30,III,12%
2930,3004.90.11,Medicaments of Ayurvedic systems,30,III,12%
2931,3004.90.12,Medicaments of Unani systems,30,III,12%
2932,3004.90.13,Medicaments of Siddha,30,III,12%
2933,3004.90.14,Medicaments of Homeopathic System,30,III,12%
2934,3004.90.15,Medicaments of Bio-chemic systems,30,III,12%
2935,3004.90.90,Medicaments other than those given in sub-entries (i) to (v),30,III,12%
2936,3005.00.00,"Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical,dental or veterinary purposes.",30,III,12%
2937,3005.10.00,Adhesive dressings and other articles having an adhesive layer,30,III,12%
2938,3005.90.00,"Wadding, gauze, bandages, prepared dressings, poultices,similar articles",30,III,12%
2939,3006.00.00,"Pharmaceutical goods specified in note 4 to this chapter sterile surgical catgut, similar sterile suture materials (including sterile absorbabale surgical or dental yarns)and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics;sterile surgical or dental adhesion barriers, whether or not absorbable etc., waste pharmaceuticals [other than contraceptives].",30,III,12%
2940,3006.00.00,All types of contraceptives,30,I,NIL
2941,3006.00.00,Animal or Human Blood Vaccines,30,II,5%
2942,3006.10.00,"Sterile surgical suture materials, sterile laminaria, haemostatics",30,III,12%
2943,3006.10.10,Sterile surgical catgut and similar sterile suture materials and steriletissue adhesives forsugical cound closure,30,III,12%
2944,3006.10.20,Blood grouping reagents,30,III,12%
2945,3006.10.20,Sterilelaminaria and sterile laminaria tents and sterile absorbable sugical / dental haemostatics,30,III,12%
2946,3006.30.00,Opacifying preparations for X-Ray examinations; diagnostic reagents designed to be administered to the patients,30,III,12%
2947,3006.40.00,"Dental cements and other dental fillings, bone reconstructions cements",30,III,12%
2948,3006.50.00,First Aid boxes and kits,30,III,12%
2949,3006.60.00,"Chemical contraceptive preparations based on hormones, or other products of heading 2937 on spermicides (Contraceptive pills)",30,I,NIL
2950,3006.70.00,Gel preparations designed to be used in human or veterinary medicines as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,30,III,12%
2951,3006.80.00,Waste pharmaceuticals,30,III,12%
2952,3000.00.00,Diagnostic kits for detection of all types of hepatitis,30,II,5%
2953,3000.00.00,Desferrioxamine injection or deferiprone,30,II,5%
2954,3000.00.00,Cyclosporin,30,II,5%
2955,3000.00.00,Medicaments (including veterinary medicaments) used in bio-chemic systems and not bearing a brand name,30,II,5%
2956,3000.00.00,Oral re-hydration salts,30,II,5%
2957,3000.00.00,"Drugs or medicines including their salts and esters and diagnostic test kits, specified in List 3 or List 4 appended to the notification No.12/2012- Customs, dated the 17th March, 2012, dated the 17th March, 2012
",30,II,5%
2958,3000.00.00,"Formulations manufactured from the bulk drugs specified in List 1 of notification No.12/2012-Central Excise, dated the 17th March, 2012, dated the 17th March, 2012.",30,II,5%
2959,3101.00.00,"Animal or vegetable fertilizers, fertilizers produced by the mixing",31,required clarification,--
2960,3101.00.00,"Animal/veg fertilizer, mixed/not/chemically treated",31,required clarification,--
2961,3101.00.00,Biovita,31,required clarification,--
2962,3101.00.10,Guano,31,required clarification,--
2963,3101.00.91,Animal dung,31,required clarification,--
2964,3101.00.92,Animal excreta,31,required clarification,--
2965,3102.00.00,"Mineral or chemical fertilizers, nitrogenous",31,required clarification,--
2966,3102.10.00,Urea (whether or not in aqueous solution),31,required clarification,--
2967,3102.21.00,Ammonium sulphate,31,required clarification,--
2968,3102.29.00,Double salts and mixtures of ammonium sulphate or ammohium nitrate,31,required clarification,--
2969,3102.30.00,Ammonium nitrate,31,required clarification,--
2970,3102.40.00,Mixtures of ammonium nitrate,31,required clarification,--
2971,3102.50.00,Sodium nitrate,31,required clarification,--
2972,3102.60.00,Double salts and mixtures of calcium nitrate and ammonium nitrate,31,required clarification,--
2973,3102.70.00,Calcium cyanamide,31,required clarification,--
2974,3102.80.00,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution),31,required clarification,--
2975,3102.90.00,Other nitrogenous fertilizers,31,required clarification,--
2976,3103.00.00,"Mineral or chemical fertilizers, phosphatic",31,required clarification,--
2977,3103.10.00,Superphosphates,31,required clarification,--
2978,3103.20.00,Basic slag,31,required clarification,--
2979,3103.90.00,Other phosphatic fertilizers,31,required clarification,--
2980,3104.00.00,"Mineral or chemical fertilizers, potassic",31,required clarification,--
2981,3104.10.00,"Carnallite, sylvite and other crude natural potassium salts",31,required clarification,--
2982,3104.20.00,Potassium chloride,31,required clarification,--
2983,3104.30.00,Potassium sulphate,31,required clarification,--
2984,3104.90.00,Other potassic fertilizers,31,required clarification,--
2985,3105.00.00,"M or ch fertilizer, n/un2of3el, fert nesoi, fert pack",31,required clarification,--
2986,3105.10.00,Fertilizers in tablets or in packages of a gross weight not exceeding 10kg,31,required clarification,--
2987,3105.20.00,"Mineral or chemical fertilizers containing nitrogen, phosphorus, potassium",31,required clarification,--
2988,3105.30.00,Diammonium hydrogenor thophosphate (diammonium phosphate),31,required clarification,--
2989,3105.40.00,"Ammonium dihydrogenorthophosphate, mixtures thereof with diammonium hydroge northophos phate",31,required clarification,--
2990,3105.51.00,Fertilizers containing nitrates and phosphates,31,required clarification,--
2991,3105.59.00,"Other mineral or chemical fertilizers containing nitrogen, phosphates",31,required clarification,--
2992,3105.60.00,Mineral or chemical fertilizers containing phosphorus and potassium,31,required clarification,--
2993,3105.90.00,Ther fertilizers,31,required clarification,--
2994,3201.00.00,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives ",32,IV,18%
2995,3201.10.00,Quebracho extract,32,IV,18%
2996,3201.20.00,Wattle extract,32,IV,18%
2997,3201.30.00,Oak or chestnut extract,32,IV,18%
2998,3201.90.00,"Other vegetable tanning extracts; tannins and their salts, ethers, esters",32,IV,18%
2999,3201.90.10,Gambier extracts,32,IV,18%
3000,3201.90.20,Myrobalan fruit extract,32,IV,18%
3001,3201.90.30,Gallotanic acid (Tannin digalic acid),32,IV,18%
3002,3202.00.00,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances. ",32,IV,18%
3003,3202.00.00,Enzymatic preparations for pertaining,32,II,5%
3004,3202.10.00,Synthetic organic tanning substances,32,IV,18%
3005,3202.90.00,"Inorganic tanning substances, tanning preparations",32,IV,18%
3006,3202.90.90,Dispersal F,32,IV,18%
3007,3203.00.00,"Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in note 3 to this chapter based on colouring matter of vegetable or animal origin. ",32,IV,18%
3008,3203.00.10,Cutch (Catechu) extracts,32,IV,18%
3009,3203.00.20,Food colours other than synthetic,32,IV,18%
3010,3203.00.30,Lac-dye,32,IV,18%
3011,3203.00.40,Natural indigo,32,IV,18%
3012,3203.29.00,"Men's or boys' ensembles, of other textile materials",32,IV,18%
3013,3204.00.00,"Synthetic organic colouring matter, whether or not chemically defined; preparations as specified in note 3 to this chapter based on synthetic organic colouring matter; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores, whether or not chemically defined.",32,IV,18%
3014,3204.11.00,Disperse dyes and preparations based thereon,32,IV,18%
3015,3204.11.11,Disperse yellow 13 (duranol bril yellow 6 G),32,IV,18%
3016,3204.11.21,Disperse orange 11 (duranol orange G),32,IV,18%
3017,3204.11.31,Disperse red 3 (serisol fast pink B),32,IV,18%
3018,3204.11.32,Disperse red 4 (celliton fast pink RF),32,IV,18%
3019,3204.11.33,Disperse red 9 (duranol bril yellow 6 G),32,IV,18%
3020,3204.11.41,Disperse violet 1 (duranol violet 2R),32,IV,18%
3021,3204.11.42,Disperse violet 4 (duranol brill violet B),32,IV,18%
3022,3204.11.43,Disperse violet 8 (duranol brill violet BR),32,IV,18%
3023,3204.11.51,Disperse blue 1 (duranol bril blue CB),32,IV,18%
3024,3204.11.52,Disperse blue 3 (duranol bril blue BBN),32,IV,18%
3025,3204.11.53,Disperse blue 5 (celliton fast blue FFB),32,IV,18%
3026,3204.11.54,Disperse blue 6 (celliton fast blue FFG),32,IV,18%
3027,3204.11.55,Disperse blue 14 (duranol bril blue G),32,IV,18%
3028,3204.11.56,Disperse blue 24 (duranol blue 2G),32,IV,18%
3029,3204.11.91,Disperse greens,32,IV,18%
3030,3204.11.92,Disperse browns,32,IV,18%
3031,3204.11.93,Disperse blacks,32,IV,18%
3032,3204.11.94,Disperse brown mixtures,32,IV,18%
3033,3204.11.95,Disperse grey mixtrues,32,IV,18%
3034,3204.11.96,Disperse black mixtures,32,IV,18%
3035,3204.12.00,"Acid dyes and mordant dyes, preparations based thereon",32,IV,18%
3036,3204.12.11,Acid yellows,32,IV,18%
3037,3204.12.12,Acid oranges,32,IV,18%
3038,3204.12.13,Acid reds,32,IV,18%
3039,3204.12.14,Acid violets,32,IV,18%
3040,3204.12.15,Acid Blues,32,IV,18%
3041,3204.12.16,Acid Greens,32,IV,18%
3042,3204.12.17,Acid brown,32,IV,18%
3043,3204.12.18,Acid Blacks,32,IV,18%
3044,3204.12.19,Other azo dyes,32,IV,18%
3045,3204.12.21,Acid green 17 (solacet fast green 2G),32,IV,18%
3046,3204.12.22,Acid green 27 (carbolan green G),32,IV,18%
3047,3204.12.23,Acid green 28 (carbolan brill green 5G),32,IV,18%
3048,3204.12.24,Acid green 38 (alizarine cyanine green 3G),32,IV,18%
3049,3204.12.25,Acid green 44 (alizarine cyanine green GWA),32,IV,18%
3050,3204.12.29,Other acid green (Non-azo),32,IV,18%
3051,3204.12.31,Acid black 2 (nigrosine),32,IV,18%
3052,3204.12.32,Acid black 48 (coomasie fast grey 3G),32,IV,18%
3053,3204.12.39,Other acid black (non-azo),32,IV,18%
3054,3204.12.41,Acid blue 2 (alizarine brill blue PFN),32,IV,18%
3055,3204.12.42,Acid blue 14 (solacet fast blue 4 Gl),32,IV,18%
3056,3204.12.43,Acid blue 23 (alizarin light blue 4 Gl),32,IV,18%
3057,3204.12.44,Acid blue 25 (solway ultra blue B),32,IV,18%
3058,3204.12.45,Acid blue 45 (solway blue RN),32,IV,18%
3059,3204.12.46,Acid blue 51 (alizarine sky blue FFB),32,IV,18%
3060,3204.12.47,Acid blue 52 (alizarine light - 5GL),32,IV,18%
3061,3204.12.48,Acid blue 78 (solway sky blue B),32,IV,18%
3062,3204.12.51,Acid blue 93 (ink blue),32,IV,18%
3063,3204.12.52,Acid blue 112 (coomasie ultra sky SE),32,IV,18%
3064,3204.12.53,Acid blue 127 (Brill alizarine milling blue G),32,IV,18%
3065,3204.12.54,Acid blue 138 (carbolan blue B),32,IV,18%
3066,3204.12.55,Acid blue 140 (carbolan brill blue 2R),32,IV,18%
3067,3204.12.61,"Yellows, Mordant dyes",32,IV,18%
3068,3204.12.62,"Oranges, Mordant dyes",32,IV,18%
3069,3204.12.63,"Violets, Mordant dyes",32,IV,18%
3070,3204.12.64,"Blues, Mordant dyes",32,IV,18%
3071,3204.12.65,"Greens, Mordant dyes",32,IV,18%
3072,3204.12.66,"Browns, Mordant dyes",32,IV,18%
3073,3204.12.67,"Blacks, Mordant dyes",32,IV,18%
3074,3204.12.68,"Red II (Alinarine Red), Mordant dyes",32,IV,18%
3075,3204.12.69,Other mordant dyes,32,IV,18%
3076,3204.12.91,"Acid yellows, other non-azo acid dyes",32,IV,18%
3077,3204.12.92,"Acid Oranges, other non-azo acid dyes",32,IV,18%
3078,3204.12.93,"Acid reds, other non-azo acid dyes ",32,IV,18%
3079,3204.12.94,"Acid violets, other non-azo acid dyes",32,IV,18%
3080,3204.12.95,"Acid brown, other non-azo acid dyes",32,IV,18%
3081,3204.12.99,"Acid dyes and mordant dyes, preparations based thereon: Other",32,IV,18%
3082,3204.13.00,Basic dyes and preparations based thereon,32,IV,18%
3083,3204.13.10,Basic  azo dyes,32,IV,18%
3084,3204.13.21,"Yellow 2 (auramine O), basic yellow (non-azo)",32,IV,18%
3085,3204.13.29,"Others, basic yellow (non-azo)",32,IV,18%
3086,3204.13.31,"Red 1 (rhodamine 6G), basic red (non-azo)",32,IV,18%
3087,3204.13.39,"Other, basic red (non-azo)",32,IV,18%
3088,3204.13.41,"Violet 1 (methyl violet), basic violet(non-azo)",32,IV,18%
3089,3204.13.42,"Violet 10 (rhodamine B), basic violet(non-azo)",32,IV,18%
3090,3204.13.43,"Violet 14 (magenta), basic violet(non-azo)",32,IV,18%
3091,3204.13.49,"Other, basic violet(non-azo)",32,IV,18%
3092,3204.13.51,"Blue 9 (methylene blue), basic blue(non-azo)",32,IV,18%
3093,3204.13.52,"Blue 16 (victoria blue B), basic blue(non-azo)",32,IV,18%
3094,3204.13.59,"Other, basic blue(non-azo)",32,IV,18%
3095,3204.13.61,"Green 4 (malachite green), basic green(non-azo)",32,IV,18%
3096,3204.13.69,"Other, basic green(non-azo)",32,IV,18%
3097,3204.13.91,"Basic Oranges, other non-azo basic dyes",32,IV,18%
3098,3204.13.92,"Basic Browns, other non-azo basic dyes",32,IV,18%
3099,3204.13.93,"Basic Black, other non-azo basic dyes",32,IV,18%
3100,3204.13.99,"Other, other non-azo basic dyes",32,IV,18%
3101,3204.14.00,Direct dyes and preparations based thereon,32,IV,18%
3102,3204.14.11,"Yellow 12 (chrysophenine G), Direct yellow (azo)",32,IV,18%
3103,3204.14.19,"Direct dyes and preparations based thereon: Other, Direct yellow (azo)",32,IV,18%
3104,3204.14.21,"Congo red, Direct red (azo)",32,IV,18%
3105,3204.14.29,"Other, Direct red (azo)",32,IV,18%
3106,3204.14.31,"Blue 1 (sky blue FF), Direct blue (azo)",32,IV,18%
3107,3204.14.39,"Other, Direct blue (azo)",32,IV,18%
3108,3204.14.40,Direct Oranges (azo),32,IV,18%
3109,3204.14.50,Direct greens (azo),32,IV,18%
3110,3204.14.60,B3079 Direct browns (azo),32,IV,18%
3111,3204.14.70,Direct blacks (Azo),32,IV,18%
3112,3204.14.81,"Yellow, Direct dyes (non-azo)",32,IV,18%
3113,3204.14.82,"Oranges, Direct dyes (non-azo)",32,IV,18%
3114,3204.14.83,"Red, Direct dyes (non-azo)",32,IV,18%
3115,3204.14.84,"Violets, Direct dyes (non-azo)",32,IV,18%
3116,3204.14.85,"Blues, Direct dyes (non-azo)",32,IV,18%
3117,3204.14.86,"Greens, Direct dyes (non-azo)",32,IV,18%
3118,3204.14.87,"Browns, Direct dyes (non-azo)",32,IV,18%
3119,3204.14.88,"Blacks, Direct dyes (non-azo)",32,IV,18%
3120,3204.14.89,Other direct dyes (non-azo),32,IV,18%
3121,3204.15.00,Vat dyes  (including those usable in that state as pigments) and preparations based thereon,32,IV,18%
3122,3204.15.11,Vat yellow (GC),32,IV,18%
3123,3204.15.12,Vat yellow 4 (indanthrene) golden yellow (GK),32,IV,18%
3124,3204.15.19,Others,32,IV,18%
3125,3204.15.21,Vat Orange 3 (brill orange RK),32,IV,18%
3126,3204.15.22,Vat orange 15 (golden orange 3G),32,IV,18%
3127,3204.15.29,Vat orange 15 (golden orange 3G): Other,32,IV,18%
3128,3204.15.31,Vat Red (brill pink),32,IV,18%
3129,3204.15.39,Vat Red (brill pink): Other,32,IV,18%
3130,3204.15.41,Vat Violet 1 (brill violet 2R),32,IV,18%
3131,3204.15.42,Vat Violet 3 (Magenta B),32,IV,18%
3132,3204.15.49,Vat Violet 3 (Magenta B): Other,32,IV,18%
3133,3204.15.51,Vat blue 1 (synthetic indigo),32,IV,18%
3134,3204.15.52,Vat blue 4,32,IV,18%
3135,3204.15.53,Vat blue 5 (blue 2B),32,IV,18%
3136,3204.15.54,Vat blue 6 (blue BC),32,IV,18%
3137,3204.15.55,Vat blue 20 (dark blue 30),32,IV,18%
3138,3204.15.56,Vat blue 29 (indanthrene brill blue 4G),32,IV,18%
3139,3204.15.57,Vat blue 43 (carozole blue),32,IV,18%
3140,3204.15.58,Reduced Vat blues,32,IV,18%
3141,3204.15.59,Reduced Vat blues: Other,32,IV,18%
3142,3204.15.61,Vat green 1 (indanthrene Brill green BFFB),32,IV,18%
3143,3204.15.62,Vat green 2 (indanthrene Brill green GG),32,IV,18%
3144,3204.15.63,Vat green 4 (indanthrene Brill green 3B),32,IV,18%
3145,3204.15.64,Vat green 9 (Balck BB),32,IV,18%
3146,3204.15.69,Vat green 9 (Balck BB): Other,32,IV,18%
3147,3204.15.71,Vat brown 1 (brown BR),32,IV,18%
3148,3204.15.72,Vat brown 3 (brown RGR),32,IV,18%
3149,3204.15.73,"Vat brown 5 (brown RRD, G)",32,IV,18%
3150,3204.15.79,"Vat brown 5 (brown RRD, G): Other",32,IV,18%
3151,3204.15.81,B3098 Vat black 9 (balck RB),32,IV,18%
3152,3204.15.82,Vat black 25 (olive T),32,IV,18%
3153,3204.15.83,Vat black 27 (olive R),32,IV,18%
3154,3204.15.84,Vat black 29 (grey BG),32,IV,18%
3155,3204.15.89,B3144 Other,32,IV,18%
3156,3204.15.91,Solubilised vat yellows,32,IV,18%
3157,3204.15.92,Solubilised vat oranges,32,IV,18%
3158,3204.15.93,Solubilised vat reds,32,IV,18%
3159,3204.15.94,Solubilised vat violets,32,IV,18%
3160,3204.15.95,Solubilised vat blues,32,IV,18%
3161,3204.15.96,Solubilised vat greens,32,IV,18%
3162,3204.15.97,Solubilised vat blacks,32,IV,18%
3163,3204.16.00,Reactive dyes and preparations based thereon,32,IV,18%
3164,3204.16.10,Yellows,32,IV,18%
3165,3204.16.20,Oranges,32,IV,18%
3166,3204.16.30,Reds,32,IV,18%
3167,3204.16.40,Violets,32,IV,18%
3168,3204.16.50,Blues,32,IV,18%
3169,3204.16.60,Greens,32,IV,18%
3170,3204.16.70,Browns,32,IV,18%
3171,3204.16.80,Blacks,32,IV,18%
3172,3204.16.90,Blacks: Other,32,IV,18%
3173,3204.17.00,Pigments and preparations based thereon,32,IV,18%
3174,3204.17.11,Yellow 1 (hansa yellow),32,IV,18%
3175,3204.17.19,Yellow 1 (hansa yellow): Other,32,IV,18%
3176,3204.17.20,Pigment oranges,32,IV,18%
3177,3204.17.31,Toluidine red,32,IV,18%
3178,3204.17.39,Toluidine red: Other,32,IV,18%
3179,3204.17.40,Pigment violets,32,IV,18%
3180,3204.17.51,Blue 15 (Pathalovyanine Blue),32,IV,18%
3181,3204.17.59,Blue 15 (Pathalovyanine Blue): Other,32,IV,18%
3182,3204.17.61,Green 7 (Pathalovyanine Green),32,IV,18%
3183,3204.17.69,Green 7 (Pathalovyanine Green): Other,32,IV,18%
3184,3204.17.70,Pigment Brown,32,IV,18%
3185,3204.17.80,Pigment balcks,32,IV,18%
3186,3204.19.00,Other synthetic organic coloring matter and preparations based thereon,32,IV,18%
3187,3204.19.11,Azoic coumpling components 2 (napthol AS),32,IV,18%
3188,3204.19.12,Azoic coumpling components 4(napthol AS-BO),32,IV,18%
3189,3204.19.13,Azoic coumpling components 5 (napthol ASG),32,IV,18%
3190,3204.19.14,Azoic coumpling components 7 (napthol ASSW),32,IV,18%
3191,3204.19.15,Azoic coumpling components 8 (napthol ASTR),32,IV,18%
3192,3204.19.16,Azoic coumpling components 13 (napthol ASSG),32,IV,18%
3193,3204.19.21,Azoic coumpling components 14 (napthol ASPH),32,IV,18%
3194,3204.19.22,Azoic coumpling components 15 (napthol ASLB),32,IV,18%
3195,3204.19.23,Azoic coumpling components 17 (napthol ASBS),32,IV,18%
3196,3204.19.24,Azoic coumpling components 18 (napthol ASD),32,IV,18%
3197,3204.19.25,Azoic coumpling components 20 (napthol ASOL),32,IV,18%
3198,3204.19.29,Azoic coumpling components 20 (napthol ASOL): Other,32,IV,18%
3199,3204.19.31,Azoic diazo component 1 (fast Bordeaus GP base),32,IV,18%
